nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Chris Curtis,38.75890410958904,177.8,77.11064,190.5,5.98,6.19,0.5,0.54,0.0,0.0,0.82,0.0,32,12,
Ion Cutelaba,32.33698630136986,185.42,92.98636,190.5,4.26,3.34,0.43,0.47,3.77,0.49,0.75,0.1,19,11,
Gleidson Cutis,37.18904109589041,175.26,70.30676,0.0,2.99,8.28,0.52,0.59,0.0,0.0,0.0,0.0,7,4,
Sarah D'alelio,45.347945205479455,170.18,65.77083999999999,0.0,2.4,0.0,0.33,1.0,0.0,0.0,1.0,0.0,11,7,
Marcos da Matta,53.09315068493151,162.56,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,
Henrique da Silva,36.62465753424657,190.5,92.98636,193.04,3.89,5.28,0.6,0.4,0.25,0.14,0.22,0.2,14,5,
Ariane da Silva,32.21917808219178,167.64000000000001,56.699,170.18,4.05,4.4,0.41,0.5,0.47,0.38,0.68,0.3,17,11,
Alex Da Silva,30.194520547945206,172.72,70.30676,185.42000000000002,2.14,2.52,0.46,0.56,1.97,0.43,0.76,0.3,21,4,
Radley Da Silva,30.82191780821918,175.26,65.77083999999999,180.34,0.27,0.93,0.22,0.48,6.0,1.0,1.0,0.0,8,1,
Henrique Da Silva Lopes,41.11232876712329,190.5,108.86207999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,
Deni Daffa,26.6,182.88,70.30676,187.96,3.47,6.45,0.38,0.38,0.0,0.0,0.0,0.0,6,2,
Nicolas Dalby,41.41917808219178,180.34,77.11064,187.96,3.88,3.51,0.43,0.52,0.9,0.26,0.59,0.1,24,6,
Paul Daley,43.156164383561645,175.26,77.11064,193.04,3.14,2.37,0.47,0.6,0.91,0.4,0.64,0.0,39,15,
Dave Dalgliesh,48.04109589041096,187.96,92.98636,0.0,0.0,1.85,0.0,0.5,0.0,0.0,0.0,0.0,30,19,
Richard Dalton,48.75342465753425,185.42,92.98636,0.0,1.2,3.27,0.69,0.25,1.0,0.11,0.0,0.0,4,3,
Aisling Daly,38.31506849315068,157.48000000000002,52.16308,162.56,2.92,1.4,0.52,0.55,2.15,0.41,0.33,0.9,16,6,
